,version,lat,lon,id,changeset,timestamp,tags,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,operator,website,tourism,geometry,osm_type,addr:housename
0,1,46.05353,13.229721,459858791,0.0,1249842830,"{""stars"":""3""}",,,,,,,Hotel Quo Vadis,,,hotel,POINT (13.229721069335938 46.053531646728516),node,
1,1,46.02711,13.258282,635901026,0.0,1265907190,,,,,,,,Hotel Executive,,,hotel,POINT (13.258281707763672 46.0271110534668),node,
2,4,46.068832,13.246618,1120210352,0.0,1500761207,"{""stars"":""3""}",Udine,IT,29,33100,Via Cividale,,Hotel Clocchiatti Next,,,hotel,POINT (13.246618270874023 46.06883239746094),node,
3,7,46.069046,13.245669,1120210862,0.0,1588592730,"{""stars"":""3"",""smoking"":""outside"",""contact:phone"":""+39 0432 509905"",""internet_access"":""wlan"",""internet_access:fee"":""no""}",Udine,IT,8,33100,Via Duino,udine@hotelbb.com,B&B Hotel Udine,B&B Hotels,https://www.hotel-bb.com/it/hotel/udine.htm,hotel,POINT (13.2456693649292 46.06904602050781),node,
4,2,46.05903,13.240631,1134553694,0.0,1471604757,"{""stars"":""4"",""internet_access"":""wlan""}",Udine,IT,46,33100,Via Giosuè Carducci,,Ambassador,,http://www.ambassadorpalacehotel.it/,hotel,POINT (13.240631103515625 46.05902862548828),node,
5,8,46.06135,13.233952,1738104490,0.0,1588592730,"{""stars"":""4"",""contact:phone"":""+39 0432 505091""}",Udine,IT,24,33100,Piazza Venti Settembre,astoria@hotelastoria.udine.it,Astoria,,http://www.hotelastoria.udine.it,hotel,POINT (13.233951568603516 46.06135177612305),node,
6,2,46.059727,13.23309,2234124621,0.0,1553154135,,Udine,IT,28,,Via Brenari,,Vecchio Tram,,https://www.hotelvecchiotram.com/,hotel,POINT (13.2330904006958 46.05972671508789),node,
7,4,46.070442,13.2300005,3070787781,0.0,1588592730,"{""fax"":""+39 0432 20 05 88"",""stars"":""3"",""contact:phone"":""+39 0432 50 16 83""}",,,,,,info@hotelsuiteinn.it,Suite Inn,,https://www.hotelsuiteinn-udine.com/,hotel,POINT (13.230000495910645 46.07044219970703),node,
8,2,46.056633,13.2426815,3298498477,0.0,1563394817,"{""stars"":""3""}",Udine,IT,47,33100,Viale Europa Unita,,Europa,,,hotel,POINT (13.242681503295898 46.05663299560547),node,
9,2,46.058933,13.232393,3748912020,0.0,1545943874,,Udine,,1,33100,Vicolo Chiuso,,Allegria,,,hotel,POINT (13.232393264770508 46.05893325805664),node,
10,2,46.054623,13.230447,3748973569,0.0,1539870713,,Udine,,3,33100,Piazzale Gio Batta Cella,,Hotel San Giorgio,,,hotel,POINT (13.230446815490723 46.054622650146484),node,
11,3,46.05734,13.24408,3748996714,0.0,1563889526,"{""stars"":""3""}",Udine,,43,33100,Piazzale Gabriele D'Annunzio,,Cristallo,,,hotel,POINT (13.24407958984375 46.05733871459961),node,
12,4,46.05695,13.242328,4218047637,0.0,1588592730,"{""stars"":""3"",""contact:phone"":""+39 0432 506 000""}",Udine,IT,51,33100,Viale Europa Unita,info@principe-hotel.it,Principe,,https://www.principe-hotel.it/,hotel,POINT (13.242327690124512 46.056949615478516),node,
13,1,46.085835,13.233515,5173798560,0.0,1508277320,,,,,,,,Hotel Continental,,,hotel,POINT (13.233514785766602 46.08583450317383),node,
14,2,46.078186,13.234238,5872302428,0.0,1591686429,"{""stars"":""3"",""wheelchair"":""yes"",""number_of_apartments"":""15""}",,,,,,,Residence Ramandolo,,,apartment,POINT (13.234237670898438 46.07818603515625),node,
15,3,46.077633,13.233531,5872302434,0.0,1591687125,"{""stars"":""3"",""wheelchair"":""yes""}",Udine,,28,,Via Forni di Sotto,,Hotel Ramandolo,,,hotel,POINT (13.23353099822998 46.077632904052734),node,
16,1,46.053276,13.22919,5995658130,0.0,1539870711,,,,,,,,Hotel Quo Vadis Dependance,,,hotel,POINT (13.2291898727417 46.05327606201172),node,
17,1,46.06819,13.243214,6689701398,0.0,1565123494,,,,,,,,Al Teatro,,,hotel,POINT (13.243213653564453 46.06819152832031),node,
18,3,,,36128521,,1530178998,"{""height"":""25 m"",""building"":""yes"",""it:fvg:ctrn:code"":""4AED"",""it:fvg:ctrn:revision"":""1A0""}",,,,,,,Hotel Friuli,,,hotel,"POLYGON ((13.2269769 46.0630046, 13.2271127 46.06303, 13.2271536 46.0630055, 13.2273221 46.0625912, 13.2273135 46.062556, 13.2271708 46.062527, 13.2271339 46.0625533, 13.226967 46.0629682, 13.2269769 46.0630046))",way,
19,6,,,36156383,,1588592730,"{""stars"":""3"",""height"":""11 m"",""building"":""yes"",""contact:phone"":""+39 0432 600061"",""it:fvg:ctrn:code"":""4AED"",""it:fvg:ctrn:revision"":""1A0""}",Udine,IT,11,33100,Via Paparotti,,Art Hotel Udine,,,hotel,"POLYGON ((13.2609521 46.0224687, 13.2608875 46.0226029, 13.260905 46.0226067, 13.2608855 46.0226458, 13.2608456 46.0226389, 13.2608581 46.0226119, 13.2606725 46.0225684, 13.2606111 46.0226909, 13.2609812 46.0227751, 13.2610294 46.022678, 13.2611145 46.0225061, 13.2609521 46.0224687))",way,sss
20,3,,,19429325,0.0,1634821396,"{""building"":""yes"",""height"":""21 m"",""it:fvg:ctrn:code"":""4AED"",""stars"":""4"",""type"":""multipolygon"",""wheelchair"":""yes""}",,,,,,,Là di Moret,,,hotel,"POLYGON ((13.2293242 46.097974, 13.2297061 46.0980268, 13.2297131 46.0979991, 13.2297271 46.0979987, 13.229706 46.0980548, 13.2297319 46.0980723, 13.2297604 46.098089, 13.2297718 46.0980948, 13.2297883 46.0981019, 13.2298035 46.0981073, 13.2298253 46.0981134, 13.2298478 46.0981184, 13.2298683 46.0981219, 13.2298934 46.0981248, 13.229919 46.0981265, 13.2299418 46.0981274, 13.2299663 46.0981278, 13.2299907 46.0981273, 13.2300126 46.0981261, 13.2300363 46.0981242, 13.2300596 46.0981214, 13.2300801 46.0981175, 13.2301156 46.098107, 13.2301504 46.0980946, 13.2301618 46.0980908, 13.2301513 46.0980796, 13.2301958 46.0980545, 13.2302278 46.0980297, 13.2302671 46.0979839, 13.2302827 46.0979534, 13.2302943 46.0979209, 13.2303031 46.0978878, 13.2303055 46.0978763, 13.2304758 46.0978926, 13.2305277 46.0976655, 13.2304067 46.0976561, 13.2303873 46.097764, 13.2303163 46.097759, 13.2303172 46.0977551, 13.230227 46.0977473, 13.230231 46.0977374, 13.2300877 46.0977222, 13.2299869 46.0977734, 13.2299435 46.097725, 13.2299331 46.0977302, 13.2298549 46.0977704, 13.2298422 46.0977768, 13.2298772 46.0978108, 13.2299014 46.0978343, 13.229881 46.0978448, 13.2298738 46.097848, 13.2298491 46.0978234, 13.2298273 46.0978018, 13.2297867 46.0977977, 13.229784 46.0978092, 13.2297606 46.0979041, 13.2297299 46.0979208, 13.2295254 46.0978916, 13.2293875 46.097872, 13.229354 46.0978672, 13.2293242 46.097974), (13.230049 46.0979075, 13.2301071 46.0978762, 13.2301482 46.0979219, 13.230143 46.0979324, 13.2301379 46.0979432, 13.2301339 46.0979517, 13.230133 46.0979538, 13.2301298 46.0979615, 13.2301271 46.0979682, 13.2301221 46.0979804, 13.2301079 46.0980004, 13.2300878 46.0980201, 13.2300737 46.0980299, 13.2300499 46.0980468, 13.2300227 46.098062, 13.2299954 46.0980737, 13.2299676 46.0980821, 13.2299343 46.0980882, 13.2299073 46.0980855, 13.229888 46.0980804, 13.2298706 46.0980699, 13.229854 46.0980532, 13.2298417 46.0980374, 13.2298356 46.0980228, 13.230049 46.0979075))",relation,
